target_1based	target_0based	slice	pos	n_neighbors	N_sp	fraction	neighbors_0based
1	0	0	0	2	7673	0.127883	[1, 4]
2	1	0	1	2	7411	0.123517	[0, 5]
3	2	0	2	2	7397	0.123283	[3, 6]
4	3	0	3	2	7577	0.126283	[2, 7]
5	4	1	0	2	7391	0.123183	[0, 8]
6	5	1	1	3	3824	0.063733	[1, 6, 9]
7	6	1	2	3	3769	0.062817	[2, 5, 10]
8	7	1	3	2	7412	0.123533	[3, 11]
9	8	2	0	3	3611	0.060183	[4, 9, 12]
10	9	2	1	3	3864	0.064400	[5, 8, 13]
11	10	2	2	3	3754	0.062567	[6, 11, 14]
12	11	2	3	3	3846	0.064100	[7, 10, 15]
13	12	3	0	1	15105	0.251750	[8]
14	13	3	1	2	7584	0.126400	[9, 14]
15	14	3	2	2	7551	0.125850	[10, 13]
16	15	3	3	1	14782	0.246367	[11]
