comp,x
1,000111100100
0,000000000000
2,111111111101
2,011110101111
1,001100000100
0,000000000000
0,000000000000
1,010010111000
1,100000010101
1,110000010101
0,000000000000
2,111111111111
2,101011111101
2,110111011010
2,111111111111
2,111111111111
1,101110001001
2,101111111101
0,000000000000
1,100000100010
1,000110010010
1,011010110010
1,110100000100
2,111111111111
0,000000000000
0,000000000000
1,010100110010
2,110111011111
2,111111101110
0,000000000000
1,100010111110
0,000000000000
0,000000000000
0,000000000000
0,000000000000
0,000000000000
1,000011010010
2,111111111111
2,110111001111
0,000000000000
0,000000000000
0,000000000000
2,111111110110
0,000000000000
2,001100010101
0,000000000000
1,101100011101
2,101111011101
1,110100000000
2,111110101111
1,001001011100
2,111111101111
0,000000000000
0,000000000000
1,011100001101
0,000000000000
2,110001111111
0,000000000000
2,101101111111
1,101100110111
1,101110010010
0,000000000000
0,000000000000
2,010101101111
1,001000110000
0,000000000000
1,000010001000
0,000000000000
2,111111111110
2,111111111101
0,000000000000
2,100111111100
0,000000000000
0,000000000000
1,010011001010
0,000000000000
2,111011101110
1,111100010001
2,111111010011
1,100111111101
0,000000000000
2,111111110110
0,000000000000
2,110111111110
1,011100001000
1,101100110111
1,001000010101
0,000000000000
1,000001001110
0,000000000000
1,000000010010
1,000100110001
1,101000100000
2,110101101011
0,000000000000
0,000000000000
2,001111011101
0,000000000000
0,000000000000
2,110101110010
