comp,x
1,000010001010
0,000000000000
2,111101101111
2,111111110111
1,011001010001
0,000000000000
0,000000000000
1,011111000001
1,101001010110
1,001110111010
0,000000000000
2,011111111011
2,101111011010
2,011111111111
2,011111110111
2,111010111111
1,000000000100
2,011111101111
0,000000000000
1,101110001110
1,000110110110
1,011011110111
1,001001000100
2,100101111001
0,000000000000
0,000000000000
1,011000000001
2,001111111001
2,101110111111
0,000000000000
1,000100001001
0,000000000000
0,000000000000
0,000000000000
0,000000000000
0,000000000000
1,100101011110
2,110101001111
2,011100111110
0,000000000000
0,000000000000
0,000000000000
2,011101111101
0,000000000000
2,110000101111
0,000000000000
1,001000110011
2,101111010111
1,111110101110
2,111111111011
1,000100010110
2,111011011111
0,000000000000
0,000000000000
1,011011100100
0,000000000000
2,001001101101
0,000000000000
2,110110111111
1,001010100000
1,100111000000
0,000000000000
0,000000000000
2,100101111111
1,001001000010
0,000000000000
1,011000110100
0,000000000000
2,110110111011
2,010111111111
0,000000000000
2,111111101111
0,000000000000
0,000000000000
1,010000001111
0,000000000000
2,111110011111
1,111100101001
2,111111110111
1,000101011110
0,000000000000
2,111111111111
0,000000000000
2,111111110011
1,011010010101
1,001010001001
1,000001001101
0,000000000000
1,011110001001
0,000000000000
1,001011010010
1,011000000100
1,001100101010
2,111111111111
0,000000000000
0,000000000000
2,111111111011
0,000000000000
0,000000000000
2,110111110101
0,000000000000
0,000000000000
0,000000000000
0,000000000000
1,000110100000
2,111111111111
1,110110010101
2,111011100111
0,000000000000
1,000101000001
2,001011111011
1,100010111110
0,000000000000
2,111110101110
1,000001000010
1,000000010100
0,000000000000
0,000000000000
0,000000000000
1,101110111011
1,000111111011
1,000110110000
0,000000000000
1,001011100100
1,110010101000
2,100111111001
1,010011010101
1,110110011010
0,000000000000
1,010000000000
1,110000010100
0,000000000000
0,000000000000
2,111111101110
2,111011011111
1,110001001001
0,000000000000
2,111111110011
2,111111100011
0,000000000000
2,011010011010
2,111111101010
2,111110011111
2,111111111011
0,000000000000
0,000000000000
2,011111111111
0,000000000000
0,000000000000
0,000000000000
1,000000101001
1,010000011001
1,000010011000
0,000000000000
1,110000100001
0,000000000000
1,000110101010
0,000000000000
2,111111101111
2,111111111011
2,111111111100
1,010000000000
1,000100101101
1,000110100110
1,100010110000
0,000000000000
0,000000000000
0,000000000000
1,111010111001
1,101001000000
2,011100111111
2,111111111111
1,101100001001
0,000000000000
0,000000000000
1,001101000001
2,101111111011
1,001010001011
2,011011110111
0,000000000000
1,100110000000
2,101111111011
1,000100100111
0,000000000000
2,111111111011
1,000000100100
0,000000000000
1,011010001110
2,111111001101
0,000000000000
0,000000000000
0,000000000000
2,010011101111
2,011111111100
1,010011100011
2,111111011110
1,010000001011
0,000000000000
0,000000000000
1,001000100000
0,000000000000
0,000000000000
0,000000000000
2,111111111001
2,111111101101
2,011101111111
1,110001110010
2,111100011110
0,000000000000
1,100100010000
2,111111111011
0,000000000000
0,000000000000
1,000101100101
1,010110100000
1,101111101011
0,000000000000
2,111101111011
2,111111100111
2,111011101011
1,100000011000
2,011110111111
2,111111111101
1,000000100010
1,101001100100
2,011011101110
2,111111010011
2,111111111100
2,101101101101
