n1=3, m=4, n=12, N=1000
seed=7
theta_path=D:\研究生\研究生\Quantum Machine learning\code\Train\data\theta_demo.npy
comp	x	y
1	000010001010	110011100101
0	000000000000	111101001110
2	111101101111	001011010100
2	111111110111	010101000000
1	011001010001	110101000001
0	000000000000	001101010100
0	000000000000	001101001001
1	011111000001	000110100100
1	101001010110	000110000011
1	001110111010	111101010101
0	000000000000	000011110000
2	011111111011	001001101111
2	101111011010	000010111111
2	011111111111	000101011001
2	011111110111	000001111100
2	111010111111	111100111000
1	000000000100	100001111110
2	011111101111	011101010111
0	000000000000	010001110100
1	101110001110	011010111011
1	000110110110	011001111011
1	011011110111	011101010001
1	001001000100	001100011100
2	100101111001	010110011111
0	000000000000	000111011100
0	000000000000	011011011010
1	011000000001	010000010010
2	001111111001	100100111100
2	101110111111	010011101101
0	000000000000	011111101000
1	000100001001	100000001011
0	000000000000	001110111111
0	000000000000	111111011000
0	000000000000	100001101011
0	000000000000	101000000001
0	000000000000	010010010000
1	100101011110	001011101111
2	110101001111	101111010011
2	011100111110	111000000111
0	000000000000	000100111101
0	000000000000	011001101100
0	000000000000	111111001000
2	011101111101	100100000100
0	000000000000	111000011001
2	110000101111	000110100111
0	000000000000	110010010011
1	001000110011	000101101001
2	101111010111	101001001111
1	111110101110	111110010101
2	111111111011	011101101111
1	000100010110	100001011011
2	111011011111	000011010111
0	000000000000	111100101001
0	000000000000	001101100110
1	011011100100	011001101101
0	000000000000	100001000111
2	001001101101	001111101110
0	000000000000	001101011000
2	110110111111	001001010011
1	001010100000	001101001111
1	100111000000	001010101111
0	000000000000	011010110000
0	000000000000	010001100101
2	100101111111	101111000111
1	001001000010	111111111001
0	000000000000	101011000010
1	011000110100	101100111010
0	000000000000	110010111111
2	110110111011	001000010011
2	010111111111	011000110101
0	000000000000	000011010011
2	111111101111	110100111100
0	000000000000	111011101110
0	000000000000	110001111111
1	010000001111	000111000010
0	000000000000	101000011111
2	111110011111	001101110110
1	111100101001	001100111101
2	111111110111	101010100101
1	000101011110	111100100100
0	000000000000	110010010001
2	111111111111	010011010010
0	000000000000	011101000111
2	111111110011	011011001011
1	011010010101	101111001101
1	001010001001	000011111011
1	000001001101	000010100111
0	000000000000	111111111111
1	011110001001	000001110011
0	000000000000	110010000000
1	001011010010	111100001001
1	011000000100	111001011100
1	001100101010	101110001010
2	111111111111	111011111111
0	000000000000	001001110100
0	000000000000	010001010110
2	111111111011	101011110110
