n1=3, m=4, n=12, N=1483
seed=7
theta_path=D:\研究生\研究生\Quantum Machine learning\code\Train\data\theta_demo.npy
theta_array:
[[5.49786103 0.99199549 3.79542808 2.26487638]
 [3.22549452 1.90032461 4.38469128 2.46030217]
 [1.13916194 3.50335699 5.41554688 1.98090663]]
comp	x	y
1	000000000100	001001100011
0	000000000000	100010101001
2	111111101011	110111010011
2	110111101011	001101010001
1	101110001110	011101010110
0	000000000000	110000101101
0	000000000000	000010000000
1	000110110110	101111010011
1	011011110111	010101101010
1	001001000100	100111011100
0	000000000000	101101011000
2	111011101111	011000101111
2	111101111111	000111010101
2	111111111011	111111010101
2	011011110111	001101110101
2	111011100110	111111001001
1	011000000001	001111101010
2	101110111111	101110111011
0	000000000000	001010011111
1	000100001001	001010100111
1	100101011110	000011000111
1	001000110011	011101000111
1	111110101110	100101000100
2	111111110111	111100010100
0	000000000000	000011110000
0	000000000000	101011010111
1	000100010110	001000101011
2	110010111011	011001010100
2	111111011111	000110100011
0	000000000000	000011011000
1	011011100100	010100110001
0	000000000000	000001111000
0	000000000000	000101011111
0	000000000000	110101101010
0	000000000000	010111011110
0	000000000000	101000100001
1	001010100000	000110100001
2	011111111011	010111101111
2	011101111000	000001111110
0	000000000000	110001100000
0	000000000000	101011011001
0	000000000000	100110101010
2	111111110111	111010100011
0	000000000000	111110010100
2	101011111111	001110110010
0	000000000000	100110110101
1	100111000000	001110000110
2	011001011011	000101100110
1	001001000010	100111011001
2	101011111111	000100111110
1	011000110100	010110000110
2	111101111111	100111100010
0	000000000000	001000110110
0	000000000000	110010111010
1	010000001111	000001100111
0	000000000000	101010101111
2	010101101101	101111110100
0	000000000000	101011110110
2	111101011111	100011101001
1	111100101001	001100110001
1	000101011110	110100011100
0	000000000000	111110111111
0	000000000000	011111000000
2	111101111111	111010100101
1	011010010101	000111110111
0	000000000000	001010010101
1	001010001001	101101110100
0	000000000000	100111110001
2	110110111111	101101111111
2	011111111111	011001010011
0	000000000000	110001100001
2	111111111111	110000010101
0	000000000000	001100100000
0	000000000000	100101011010
1	000001001101	001010110110
0	000000000000	110010000110
2	111011110101	000111000111
1	011110001001	010100100001
2	111101011011	011111110101
1	001011010010	011010010101
0	000000000000	110100010110
2	111111110011	110110111001
0	000000000000	000101100010
2	110111111111	011100011001
1	011000000100	011110000100
1	001100101010	000000000000
1	000110100000	001111000000
0	000000000000	110110000100
1	110110010101	101111100010
0	000000000000	111001110010
1	000101000001	100001001010
1	100010111110	110101100011
1	000001000010	101000011011
2	101111111011	000101000110
0	000000000000	010011111110
0	000000000000	100001100100
2	001111111111	001001101011
0	000000000000	011010101101
0	000000000000	001011101111
2	010111111111	001001001011
0	000000000000	110001011111
0	000000000000	000111101110
0	000000000000	001001100011
0	000000000000	100100000000
1	000000010100	111011010010
2	111011011111	101000111010
1	101110111011	100000001110
2	111011011111	111101010100
0	000000000000	001100000011
1	000111111011	011011111111
2	111110111011	000000111110
1	000110110000	001000110000
0	000000000000	111000110110
2	011110111111	111101100100
1	001011100100	100010111111
1	110010101000	011010111001
0	000000000000	101111110111
0	000000000000	010001110110
0	000000000000	010101010110
1	010011010101	010111010101
1	110110011010	101011110111
1	010000000000	000101101010
0	000000000000	101100010100
1	110000010100	100101001100
1	110001001001	001110110110
2	111111111011	000101100110
1	000000101001	011000111000
1	010000011001	011101010100
0	000000000000	101110101001
1	000010011000	001010110000
1	110000100001	101110111110
0	000000000000	101011010001
0	000000000000	100011100001
2	111011111101	111110110101
2	111111111110	000111111101
1	000110101010	001101001010
0	000000000000	111011010101
2	111101011101	110010110100
2	111101110101	000101101110
0	000000000000	010001110100
2	011111111011	010100111101
2	111111111111	101100001001
2	111111111111	101011001011
2	111111011111	110011111010
0	000000000000	110000100101
0	000000000000	110110000001
2	111110101010	001011100010
0	000000000000	010000011010
0	000000000000	010010110100
0	000000000000	001100111111
1	010000000000	101010100011
1	000100101101	101011010000
1	000110100110	101111100100
0	000000000000	101101011001
1	100010110000	001010000001
0	000000000000	100011110111
1	111010111001	110101100010
0	000000000000	110111001001
2	111111010110	110001100011
2	111111111111	010000011100
2	101111111111	100101001111
1	101001000000	010001101001
1	101100001001	100110011101
1	001101000001	010101100111
1	001010001011	011011010111
0	000000000000	011100101000
0	000000000000	000110010110
0	000000000000	101111001111
1	100110000000	110000010010
1	000100100111	100101010101
2	111111111111	000010011010
2	101111110111	100101101100
1	000000100100	101010101001
0	000000000000	101111100100
0	000000000000	011011001010
1	011010001110	010101011100
2	111110111111	011111011001
1	010011100011	110000010101
2	111111100110	010000010001
0	000000000000	111010000000
1	010000001011	100110100001
2	010111111111	111001000100
1	001000100000	111011100100
0	000000000000	110100000101
2	001110111110	110001010111
1	110001110010	111000011000
0	000000000000	000110101010
1	100100010000	000011101111
2	111111111111	111100010011
0	000000000000	100111100011
0	000000000000	100100110001
0	000000000000	111010000110
2	011011111111	010111111010
2	111110011110	110111011001
1	000101100101	011100010010
2	111111110010	110000011001
1	010110100000	011101100111
0	000000000000	111000000110
0	000000000000	101110110100
1	101111101011	101110010110
0	000000000000	000111110100
0	000000000000	100011110100
0	000000000000	100110101010
2	101111111111	100011011100
2	111111111111	011110110000
2	111111111011	110100111111
1	100000011000	110100111001
2	101111111111	110110001111
0	000000000000	100011010111
1	000000100010	001100001100
2	111110001100	011101110001
0	000000000000	101110010100
0	000000000000	111110010010
1	101001100100	100010001011
1	100000000110	111011010111
1	001010000110	010101100000
0	000000000000	010100001111
2	110101111100	101011011010
2	111011111111	000101101111
2	111111111000	111000110101
1	110010110100	001010100001
2	111000011011	010101110010
2	100111110111	001001111000
1	010101101100	101001111100
1	000001110000	001000101000
2	111010111111	111101101110
2	011111101011	001000111110
2	001111111111	100111001001
2	111010111111	000111110010
0	000000000000	011110100110
1	101101010010	100100110011
0	000000000000	111101001110
1	000011001010	011101100100
2	111111101111	001101101101
1	101110100001	000111111111
2	111111101101	010011010001
0	000000000000	101011110010
1	100010011000	100111010111
1	100000010011	101110000111
1	101010010110	101100011101
0	000000000000	001110111110
0	000000000000	001110000001
0	000000000000	100100010110
2	101100111110	100110110001
0	000000000000	001100100000
0	000000000000	001011011011
1	010110010000	010001010100
0	000000000000	100110000101
2	111101111001	010110101001
0	000000000000	101010011000
1	011100010010	111010011111
0	000000000000	111101011100
0	000000000000	100001001100
1	000100010111	111100111101
0	000000000000	111110010001
1	000110111111	011110001100
2	111111111101	001101011101
0	000000000000	101011010101
2	011111101111	000111111001
2	111111111011	001110001110
