qubit,pauli,count
0,X,1
0,Y,1
0,Z,1
1,X,1
1,Y,1
1,Z,1
2,X,1
2,Y,1
2,Z,1
3,X,1
3,Y,1
3,Z,1
4,X,1
4,Y,1
4,Z,1
5,X,1
5,Y,1
5,Z,1
6,X,1
6,Y,1
6,Z,1
7,X,1
7,Y,1
7,Z,1
8,X,1
8,Y,1
8,Z,1
9,X,1
9,Y,1
9,Z,1
10,X,1
10,Y,1
10,Z,1
11,X,1
11,Y,1
11,Z,1
12,X,1
12,Y,1
12,Z,1
13,X,1
13,Y,1
13,Z,1
14,X,1
14,Y,1
14,Z,1
15,X,1
15,Y,1
15,Z,1
16,X,1
16,Y,1
16,Z,1
17,X,1
17,Y,1
17,Z,1
18,X,1
18,Y,1
18,Z,1
19,X,1
19,Y,1
19,Z,1
20,X,1
20,Y,1
20,Z,1
21,X,1
21,Y,1
21,Z,1
22,X,1
22,Y,1
22,Z,1
23,X,1
23,Y,1
23,Z,1
24,X,1
24,Y,1
24,Z,1
25,X,1
25,Y,1
25,Z,1
26,X,1
26,Y,1
26,Z,1
27,X,1
27,Y,1
27,Z,1
28,X,1
28,Y,1
28,Z,1
29,X,1
29,Y,1
29,Z,1
30,X,1
30,Y,1
30,Z,1
31,X,1
31,Y,1
31,Z,1
